Study_ID,Study_Year,Country,Region,Land_Use_Change,Covariates,Sampling_Design,Exclosure_Treatments,Function_Methods,Land.use.Source,Citations,DOI
adle01,2006,united states,western ma,NA,"we did not include any in our analyses. I wouldn't be surprised if field size was important. Pesticide use was probably also important but this was a response, not explanatory factor in our analyses. ",1 transect of 25 main crop plants per field once a week for 4 weeks. ,NA,"Herbivory was measured on each sampled plant in three ways: total beetle numbers (Acalymma vittatum) per plant, cotyledon and total leaf damage on a 0-5 scale each representing 20% increments of damage (ie, a score of 2 means 20-40% damage)",Cropland Data Layer (United States),"Cavanagh A, Adler LS, and Hazzard RV. 2010. Buttercup squash provides a marketable alternative to blue hubbard as a trap crop for control of striped cucumber beetles (Coleoptera: Chrysomelidae). Environmental Entomology 39(6): 1953-60.",96538f6e-4868-4061-a010-5ee3f6f8b041
albr01,2007,switzerland,eastern.swiss.plateau,no,NA,trap nests; number of brood cells attacked natural enemies (mainly parasitoids); 1 season (beginning April to end of October),NA,trap nests; proportion of brood cells attacked by natural enemies of total number of brood cells of hosts (bees and wasps); 1 season (beginning April to end of October),Author contribution; CORINE (Europe),Unpublished,8edbdec3-5535-420e-bf88-fc533b7e930b
bata01,2006,germany,lower saxony,no,NA,A plot of three wild mustard plants (S. arvensis) were established (1 June) in each field. Samples of rape pollen beetles were collected from the phytometers at flowering of wild mustard (27 June 2006).,NA,number of parasitized larvae was determined by dissecting the rape pollen beetle larvae,Author contribution; CORINE (Europe),"Gladbach DJ, Holzschuh A, Scherber C, Thies C, Dormann CF, Tscharntke T (2011): Crop-noncrop spillover: arable fields affect trophic interactions on wild plants in surrounding habitats. Oecologia 166: 433-441.",cb4ceb58-b026-419f-9d6c-b9a67281031e
bata02,2002,germany,lower saxony,no,organic vs. conventional,Aphids were searched in 50 randomly selected wheat shoot (4 times in 2 transects).,NA,2h sampling for aphid mummies per field: number of parasitized aphids divided by number of all aphids,Author contribution; CORINE (Europe),"Hucker M (2003) MSc thesis.Georg-August-Universitat Gottingen, Germany.",50961945-f30c-43d2-bae8-f82c6b8ed5b4
bata03,2005-2007,germany,lower saxony,no,NA,Aphids were searched in 100 randomly selected wheat shoot  2m from adjacent habitat (2 times in 1 transects).,NA,number of parasitized aphids divided by number of all aphids,Author contribution; CORINE (Europe),"Scheid BE (2010): The role of sown wildflower strips for biological control in agroecosystems. PhD thesis, Georg-August-Universitat Gottingen, Germany (http://ediss.uni-goettingen.de/bitstream/handle/11858/00-1735-0000-0006-B057-6/scheid.pdf?sequence=1).",b7e66711-5a99-499b-a59a-0425d0f7579e
bata04,2007,germany,lower saxony,no,organic vs. conventional,2 pitfall traps for 2 weeks in 1 to 5 locations per site,NA,"Aphid predation rate on aphids cards: 2 rounds, 9 cards per farm, 3 aphids per card, check after 2 days",Author contribution; CORINE (Europe),Geiger et al BAE 2010 'Persistent negative effects of pesticides on biodiversity and biological control potential on European farmland',34229c1c-d344-4759-aa10-b2681f2f7684
bata05,1997,germany,lower saxony,no,Edge vs. center of fields,NA,NA,Parasitism of rape pollen beetles measured 1m (edge) and 10-12m (center) from field edges. Sampling effort unknown also from publication,Author contribution; CORINE (Europe),"Thies, C., and T. Tscharntke. 1999. Landscape structure and biological control in agroecosystems. Science 285:893–895.",5aa0ea51-d545-4663-b7bf-ed2a0363d907
bata06,2001,germany,lower saxony,no,NA,Visual counts of aphids on 100 wheat shoots in an 800m¬≤ area of each field at 2 dates (June & July),NA,Number of mummies on 100 wheat shoots in an 800m¬≤ area of each field at 2 dates (June & July),Author contribution; CORINE (Europe),"Thies, C., I. Roschewitz, and T. Tscharntke. 2005. The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B-Biological Sciences 272:203–10.",dc568df2-f9e3-40bc-968b-d13b19eac5cc
bian01,2007-2008,australia,"dalby agricultural region, south-east queensland",NA,plant diversity; proximity to remnant ,"Twelve to Twenty sticky traps were exposed for 48 hours in a 25 x 25 m grid pattern in plots in each habitat, far (+400m) from remnant; adjacent (25-125m) to remnant and within remnant. The experiment was conducted at 18 locations across two landscapes and repeated three times in a 2-week period in 2007 and 2008. ",NA,"Twelve to twenty sentinel cotton plants infested with whitefly were exposed for 48 hours in a 25 x 25 m grid pattern in plots in each habitat, far (+400m) from remnant; adjacent (25-125m) to remnant and within remnant. The experiment was conducted at 18 locations across two landscapes and repeated three times in a 2-week period in 2007 and 2008. ",Author contribution,"(1) Bianchi, F. J. J. A., B. J. Walters, S. A. Cunningham, L. Hemerik and N. A. Schellhorn. 2015. Landscape-scale mass-action of spiders explains early-season immigration rates in crops. Landscape Ecology 32: 1257–1267.; (2) Bianchi, F. J. J. A., B. J. Walters, A. L. T. ten Hove, S. A. Cunningham, W. van der Werf, J. C. Douma, and N. A. Schellhorn. 2015. Early-season crop colonization by parasitoids is associated with native vegetation, but is spatially and temporally erratic. Agriculture, Ecosystems & Environment 207:10-16.",17f9dea7-1942-417f-80ae-9593f9c66eb4
bian02,2002-2003,the netherlands,whole of netherlands,NA,NA,In each site (organic Brussels sprout field) 10 Brussels sprout plants were randomly selected and reveived a Mamestra brassicae egg card,NA,Egg predation was assessed by comparing photos before and after exposure; parasitism was assessed by counting the number of parasitoids from the egg cards,CORINE (Europe),"Bianchi, F. J. J. A., W. K. R. E. van Wingerden, A. J. Griffioen, M. van der Veen, M. J. J. van der Straten, R. M. A. Wegman, and H. A. M. Meeuwsen. 2005. Landscape factors affecting the control of Mamestra brassicae by natural enemies in Brussels sprout. Agriculture, Ecosystems and Environment 107:145-150.",73e85805-e54f-422e-804c-7167731cab78
bian03,2006,the netherlands,whole of netherlands,NA,No ,In each site (organic Brussels sprout field) 8 experimental Brussels sprout plants containing 10 L2 Plutella xylostella larvae were placed randomly,not applicable,Parasitism was assessed by dissecting exposed Plutella larvae,CORINE (Europe),"Bianchi, F. J. J. A., Goedhart, P. W., & Baveco, J. M. (2008). Enhanced pest control in cabbage crops near forest in The Netherlands. Landscape Ecology,23(5), 595-602.",39c2766c-8f48-423b-af1c-9932fa5ae02d
birk01,2012,sweden,scania,no,"conventional, recently transformed and old organic spring barley fields (N=6 per category)","Each field was sampled twice (before and after milk ripening: 1.) D-Vac suction sampling for natural enemy and pest densities, 2.) hand-collecting web-building spiders and prey for aphid predation and 3.) identification of parasitation levels in cicadas by visual inspection of samples",No,Aphids trapped in spider webs were counted. The proportion of cicadas that were parasitized by cicada wasps was claculated,CORINE (Europe),"Birkhofer K, Arvidsson F, Ehlers D, Mader VL, Bengtsson J, Smith HG (2016) Landscape complexity and organic farming independently affect the biological control of hemipteran pests and yields in spring barley. Landscape Ecology 31: 567-579, DOI: 10.1007/s10980-015-0263-8",a0137655-f734-4591-8c5b-e258cae08a79
birk02,2011,sweden,scania,no,Conventional (N=34) and organic (N=7) spring barley fields,Weekly tiller counts (100 tillers per date and field) for aphids for 5 weeks in each field,No,100 tillers were visually inspected for aphids on each date,CORINE (Europe),Unpublished,2aeca8a3-7774-49c5-99c0-cfbf5cc5fed7
bohn01,2010-2012,united states,pennsylvania,no,no,at the end of the season cornstalks were assessed for European corn borer tunnels on ten random plants in an outside row,no exclosures,yield was collected from the middle two rows of each plot,Cropland Data Layer (United States),"(1) Bohnenblust, E., Breining, J., Shaffer, J., Fleischer, S., Roth, G., Tooker, J. 2013. Current European Corn Borer, Ostrinia nubilalis, Injury Levels in the Northeastern US and the Value of Bt Field Corn. Pest Management Science. 70 (11): 1711-1719; (2)  Bohnenblust, E., Breining, J., Fleischer, S., Roth, G., Tooker, J. 2013. Corn Earworm in Northeastern Field Corn: Pest Threat and the Value of Transgenic Hybrids. Journal of Economic Entomology. 106 (3): 1250-1259.",a88ee1a2-8092-461a-9ba0-30652b260886
