category,qgram,cosine,smith_waterman,lcs,len_a,len_b
3,1,1,0.5,0.95,0.425531915,0.425531915
3,1,1,0.652173913,0.956521739,0.489361702,0.489361702
3,0.913043478,0.938971068,0.930232558,0.976744186,0.468085106,0.446808511
3,1,1,0.6875,0.9375,0.340425532,0.340425532
3,0.894736842,0.91925472,0.914285714,0.914285714,0.382978723,0.361702128
3,1,1,0.526315789,0.947368421,0.404255319,0.404255319
3,0.909090909,0.936382184,0.926829268,0.926829268,0.425531915,0.446808511
3,1,1,0.782608696,0.956521739,0.489361702,0.489361702
3,0.7,0.83715789,0.746153846,0.884615385,0.617021277,0.489361702
3,0.666666667,0.718132499,0.444444444,0.711111111,0.468085106,0.489361702
3,1,1,0.55,0.95,0.425531915,0.425531915
3,0.72,0.76,0.660869565,0.739130435,0.468085106,0.510638298
3,0.833333333,0.834622326,0.409090909,0.863636364,0.446808511,0.489361702
3,0.857142857,0.857142857,0.846153846,0.923076923,0.619047619,0.619047619
3,0.913043478,0.943564195,0.930232558,0.976744186,0.446808511,0.468085106
3,0.916666667,0.947514249,0.444444444,0.933333333,0.489361702,0.468085106
3,0.869565217,0.88,0.863636364,0.909090909,0.468085106,0.468085106
3,1,1,0.65,0.95,0.425531915,0.425531915
3,0.92,0.943564195,0.936170213,0.978723404,0.510638298,0.489361702
3,0.928571429,0.963624112,0.88,0.96,0.571428571,0.619047619
3,0.75,0.709299366,0.790697674,0.930232558,0.489361702,0.425531915
3,0.945945946,0.963036357,0.957746479,0.985915493,0.765957447,0.744680851
3,0.92,0.943564195,0.468085106,0.936170213,0.489361702,0.510638298
3,0.647058824,0.674453273,0.75862069,0.896551724,0.276595745,0.340425532
3,0.878787879,0.921371721,0.903225806,0.967741935,0.638297872,0.680851064
3,1,1,0.583333333,0.958333333,0.510638298,0.510638298
3,0.931034483,0.95668077,0.945454545,0.981818182,0.595744681,0.574468085
3,1,1,0.636363636,0.954545455,0.468085106,0.468085106
3,0.909090909,0.936382184,0.926829268,0.926829268,0.446808511,0.425531915
3,0.875,0.903696114,0.896551724,0.965517241,0.29787234,0.319148936
3,1,1,0.65,0.95,0.425531915,0.425531915
3,0.933333333,0.957427108,0.947368421,0.98245614,0.595744681,0.617021277
3,1,1,0.575757576,0.96969697,0.70212766,0.70212766
3,0.909090909,0.936382184,0.487804878,0.87804878,0.446808511,0.425531915
3,0.714285714,0.737209781,0.756756757,0.810810811,0.361702128,0.425531915
3,0.909090909,0.93048421,0.487804878,0.926829268,0.425531915,0.446808511
3,1,1,0.705882353,0.941176471,0.361702128,0.361702128
3,0.928571429,0.957841489,0.943396226,0.943396226,0.553191489,0.574468085
3,0.851851852,0.885270413,0.52,0.96,0.553191489,0.510638298
3,0.892857143,0.909508594,0.851851852,0.925925926,0.574468085,0.574468085
3,1,1,0.730769231,0.961538462,0.553191489,0.553191489
3,0.866666667,0.914659121,0.928571429,0.964285714,0.617021277,0.574468085
3,0.928571429,0.957841489,0.943396226,0.943396226,0.553191489,0.574468085
3,0.714285714,0.77151675,0.727272727,0.909090909,0.238095238,0.285714286
3,1,1,0.545454545,0.954545455,0.468085106,0.468085106
3,0.846153846,0.846153846,0.833333333,0.916666667,0.571428571,0.571428571
3,0.952380952,0.979130049,0.974358974,0.974358974,0.689655172,0.655172414
3,0.806451613,0.864158565,0.8,0.915254237,0.638297872,0.617021277
3,1,1,0.68,0.96,0.531914894,0.531914894
3,0.923076923,0.955330294,0.571428571,0.93877551,0.510638298,0.531914894
3,1,1,0.592592593,0.962962963,0.574468085,0.574468085
3,1,1,0.56,0.96,0.531914894,0.531914894
3,0.923076923,0.968822002,0.583333333,0.958333333,0.531914894,0.489361702
3,0.833333333,0.834622326,0.863636364,0.909090909,0.446808511,0.489361702
2,0.470588235,0.685994341,0.608695652,0.608695652,0.761904762,0.333333333
2,0.52173913,0.574426958,0.380487805,0.682926829,0.468085106,0.404255319
2,0.5,0.707106781,0.615384615,0.615384615,0.428571429,0.19047619
3,1,1,0.62962963,0.962962963,0.574468085,0.574468085
2,0.782608696,0.903696114,0.871794872,0.871794872,0.361702128,0.468085106
2,0.764705882,0.842105263,0.6,0.866666667,0.340425532,0.29787234
2,0.666666667,0.77151675,0.6,0.6,0.310344828,0.379310345
2,0.583333333,0.708088193,0.333333333,0.666666667,0.489361702,0.404255319
2,0.68,0.762770071,0.587234043,0.680851064,0.489361702,0.510638298
2,0.888888889,0.953462589,0.93877551,0.93877551,0.793103448,0.896551724
2,0.6,0.648203724,0.666666667,0.666666667,0.666666667,0.619047619
2,0.586206897,0.678833593,0.4,0.72,0.595744681,0.468085106
2,0.541666667,0.601337794,0.47826087,0.608695652,0.489361702,0.489361702
1,0.714285714,0.714285714,0.833333333,0.833333333,0.285714286,0.285714286
2,0.72972973,0.890736279,0.838709677,0.838709677,0.553191489,0.765957447
1,0.571428571,0.571428571,0.666666667,0.666666667,0.285714286,0.285714286
2,0.730769231,0.87650098,0.558139535,0.837209302,0.382978723,0.531914894
2,0.766666667,0.874146757,0.867924528,0.905660377,0.510638298,0.617021277
2,0.653846154,0.738548946,0.326530612,0.693877551,0.531914894,0.510638298
1,0.466666667,0.589368958,0.4,0.64,0.617021277,0.446808511
1,0.583333333,0.654653671,0.4,0.688888889,0.489361702,0.468085106
1,0.5,0.548482756,0.4,0.703703704,0.574468085,0.574468085
1,0.733333333,0.771743633,0.675862069,0.724137931,0.617021277,0.617021277
1,0.566666667,0.645497224,0.392592593,0.666666667,0.617021277,0.531914894
1,0.466666667,0.56577895,0.464285714,0.535714286,0.617021277,0.574468085
1,0.516129032,0.602796287,0.372881356,0.542372881,0.617021277,0.638297872
1,0.555555556,0.632455532,0.303030303,0.575757576,0.744680851,0.659574468
1,0.466666667,0.588035238,0.490566038,0.566037736,0.617021277,0.510638298
1,0.466666667,0.576696788,0.49122807,0.561403509,0.595744681,0.617021277
1,0.666666667,0.718132499,0.666666667,0.755555556,0.489361702,0.468085106
1,0.541666667,0.604367223,0.545454545,0.590909091,0.489361702,0.446808511
1,0.538461538,0.590878948,0.425531915,0.553191489,0.531914894,0.468085106
1,0.541666667,0.604367223,0.545454545,0.590909091,0.489361702,0.446808511
1,0.53125,0.619779787,0.338983051,0.677966102,0.659574468,0.595744681
1,0.5,0.568750123,0.421052632,0.561403509,0.617021277,0.595744681
1,0.483870968,0.549235036,0.364912281,0.666666667,0.638297872,0.574468085
1,0.565217391,0.643267521,0.545454545,0.681818182,0.468085106,0.468085106
1,0.5,0.500867303,0.464285714,0.535714286,0.617021277,0.574468085
1,0.7,0.836660027,0.407692308,0.730769231,0.617021277,0.489361702
1,0.615384615,0.70156076,0.5,0.583333333,0.489361702,0.531914894
1,0.5,0.601337794,0.4,0.52,0.574468085,0.489361702
1,0.571428571,0.632455532,0.448979592,0.775510204,0.468085106,0.574468085
1,0.464285714,0.567227362,0.392156863,0.588235294,0.574468085,0.510638298
1,0.526315789,0.566288894,0.470588235,0.735294118,0.382978723,0.340425532
1,0.5,0.6,0.490566038,0.716981132,0.617021277,0.510638298
1,0.483870968,0.594594595,0.344827586,0.655172414,0.595744681,0.638297872
1,0.677419355,0.724713795,0.542372881,0.813559322,0.617021277,0.638297872
1,0.526315789,0.657438259,0.4375,0.625,0.482758621,0.620689655
1,0.48,0.542450803,0.468085106,0.553191489,0.510638298,0.489361702
1,0.576923077,0.6,0.552,0.6,0.531914894,0.531914894
1,0.583333333,0.667124385,0.5,0.636363636,0.489361702,0.446808511
1,0.5,0.572637127,0.49122807,0.596491228,0.595744681,0.617021277
1,0.5,0.565685425,0.4,0.577777778,0.425531915,0.531914894
1,0.529411765,0.605405515,0.571428571,0.571428571,0.761904762,0.571428571
1,0.571428571,0.639602149,0.584615385,0.717948718,0.904761905,0.952380952
1,0.53125,0.576022109,0.346666667,0.633333333,0.617021277,0.659574468
1,0.708333333,0.808137624,0.641860465,0.790697674,0.489361702,0.425531915
1,0.5,0.52297636,0.407407407,0.62962963,0.617021277,0.531914894
1,0.466666667,0.650443636,0.44,0.6,0.617021277,0.446808511
1,0.46875,0.556414884,0.379310345,0.655172414,0.574468085,0.659574468
1,0.52,0.551724138,0.416666667,0.625,0.510638298,0.510638298
1,0.6,0.730296743,0.484615385,0.653846154,0.489361702,0.617021277
1,0.5,0.548482756,0.333333333,0.666666667,0.574468085,0.574468085
1,0.518518519,0.603881085,0.425531915,0.595744681,0.553191489,0.446808511
1,0.5,0.606339063,0.368,0.56,0.531914894,0.531914894
1,0.714285714,0.845154255,0.818181818,0.818181818,0.619047619,0.428571429
1,0.555555556,0.613940614,0.392156863,0.549019608,0.531914894,0.553191489
1,0.5,0.623609564,0.571428571,0.761904762,0.380952381,0.619047619
1,0.541666667,0.623705556,0.533333333,0.533333333,0.468085106,0.489361702
1,0.583333333,0.627571632,0.533333333,0.622222222,0.489361702,0.468085106
1,0.476190476,0.559502885,0.514285714,0.514285714,0.689655172,0.517241379
1,0.538461538,0.578637562,0.416666667,0.625,0.531914894,0.489361702
1,0.571428571,0.589255651,0.538461538,0.538461538,0.448275862,0.448275862
1,0.516129032,0.602796287,0.372881356,0.542372881,0.617021277,0.638297872
1,0.571428571,0.571428571,0.666666667,0.666666667,0.285714286,0.285714286
1,0.5625,0.678400525,0.72,0.72,0.714285714,0.476190476
1,0.583333333,0.655562281,0.434782609,0.608695652,0.489361702,0.489361702
1,0.72,0.76,0.713043478,0.782608696,0.468085106,0.510638298
1,0.533333333,0.636929755,0.301886792,0.641509434,0.510638298,0.617021277
1,0.535714286,0.56694671,0.451851852,0.592592593,0.574468085,0.574468085
1,0.739130435,0.843220911,0.585365854,0.780487805,0.468085106,0.404255319
1,0.444444444,0.549926681,0.485106383,0.553191489,0.553191489,0.446808511
1,0.518518519,0.600981997,0.384615385,0.576923077,0.553191489,0.553191489
1,0.4,0.69310328,0.526315789,0.526315789,0.666666667,0.238095238
1,0.53125,0.619779787,0.305084746,0.677966102,0.659574468,0.595744681
1,0.535714286,0.66395281,0.432,0.66,0.489361702,0.574468085
1,0.5,0.518874522,0.56,0.56,0.571428571,0.619047619
1,0.571428571,0.632455532,0.448979592,0.775510204,0.468085106,0.574468085
1,0.5,0.580947502,0.444444444,0.518518519,0.617021277,0.531914894
1,0.454545455,0.744208408,0.571428571,0.571428571,0.476190476,0.19047619
1,0.592592593,0.709929574,0.491666667,0.666666667,0.468085106,0.553191489
1,0.541666667,0.623705556,0.488888889,0.577777778,0.489361702,0.468085106
1,0.625,0.790569415,0.75,0.75,0.428571429,0.714285714
1,0.571428571,0.571428571,0.666666667,0.666666667,0.285714286,0.285714286
1,0.566666667,0.628828146,0.344827586,0.586206897,0.617021277,0.617021277
1,0.555555556,0.637598252,0.448979592,0.693877551,0.553191489,0.489361702
1,0.71875,0.750939261,0.651612903,0.838709677,0.659574468,0.659574468
1,1,1,0.55,0.95,0.425531915,0.425531915
1,0.633333333,0.770053541,0.346153846,0.692307692,0.617021277,0.489361702
1,0.481481481,0.607176741,0.504,0.6,0.510638298,0.553191489
1,0.541666667,0.644160328,0.4,0.622222222,0.489361702,0.468085106
1,0.583333333,0.708088193,0.333333333,0.666666667,0.489361702,0.404255319
1,0.583333333,0.666666667,0.408695652,0.652173913,0.489361702,0.489361702
1,0.5,0.5,0.461538462,0.538461538,0.619047619,0.619047619
1,0.47826087,0.594225082,0.476190476,0.571428571,0.468085106,0.425531915
1,0.708333333,0.736074738,0.568888889,0.755555556,0.468085106,0.489361702
1,0.5,0.592999453,0.52173913,0.52173913,0.476190476,0.619047619
1,0.5,0.649933684,0.415686275,0.666666667,0.468085106,0.617021277
1,0.56,0.626679561,0.508333333,0.666666667,0.510638298,0.510638298
1,0.545454545,0.560448538,0.380952381,0.666666667,0.446808511,0.446808511
1,0.72,0.772048647,0.595744681,0.808510638,0.510638298,0.489361702
1,0.625,0.699867712,0.544827586,0.655172414,0.574468085,0.659574468
1,0.571428571,0.589255651,0.358974359,0.666666667,0.404255319,0.425531915
1,0.647058824,0.757033299,0.482758621,0.75862069,0.551724138,0.448275862
1,0.533333333,0.700140042,0.52173913,0.695652174,0.482758621,0.310344828
1,0.483870968,0.588489886,0.428571429,0.5,0.638297872,0.553191489
