input columns,database column,required columns,requuired
Study_ID,study_id,study_id,FALSE
Covariate_Site,covariate,data_contributor,FALSE
Year,year,data_contributor_contact_info,FALSE
Replicate,replicate,study_metadata,FALSE
Species,species,response_types,FALSE
Order,order,latitude,FALSE
Covariate_RawAbundace,covariate,longitude,FALSE
Sampling_Effort,sampling_effort,manager,TRUE
Sampling_Method,sampling_method,year,FALSE
Covariate_AbundanceDuration,covariate,month,TRUE
Covariate_Notes,covariate,day,TRUE
Longitude,longitude,local_time,TRUE
Latitude,latitude,replicate,TRUE
Covariate_LC1Gau250,covariate,sampling_effort,FALSE
Covariate_LC2Gau250,covariate,observation,FALSE
Covariate_LC3Gau250,covariate,observer_id,FALSE
Covariate_LC4Gau250,covariate,response_variable,FALSE
Covariate_LC5Gau250,covariate,units,FALSE
Covariate_LC6Gau250,covariate,sampling_method,FALSE
Covariate_LC7Gau250,covariate,sampler_type,FALSE
Covariate_LC8Gau250,covariate,functional_type,FALSE
Covariate_LC9Gau250,covariate,crop_commercial_name,FALSE
Covariate_LC1Gau750,covariate,crop_latin_name,FALSE
Covariate_LC2Gau750,covariate,abundance_class,TRUE
Covariate_LC3Gau750,covariate,order,TRUE
Covariate_LC4Gau750,covariate,family,TRUE
Covariate_LC5Gau750,covariate,genus,TRUE
Covariate_LC6Gau750,covariate,species,TRUE
Covariate_LC7Gau750,covariate,sub_species,TRUE
Covariate_LC8Gau750,covariate,morphospecies,TRUE
Covariate_LC9Gau750,covariate,life_stage,TRUE
Covariate_LC1Gau1250,covariate,pest_class,TRUE
Covariate_LC2Gau1250,covariate,pest_order,TRUE
Covariate_LC3Gau1250,covariate,pest_family,TRUE
Covariate_LC4Gau1250,covariate,pest_species,TRUE
Covariate_LC5Gau1250,covariate,pest_sub_species,TRUE
Covariate_LC6Gau1250,covariate,pest_morphospecies,TRUE
Covariate_LC7Gau1250,covariate,pest_life_stage,TRUE
Covariate_LC8Gau1250,covariate,enemy_class,TRUE
Covariate_LC9Gau1250,covariate,enemy_order,TRUE
Observation,observation,enemy_family,TRUE
Covariate_ExclosureTreatment,covariate,enemy_species,TRUE
Covariate_MeasureType,covariate,enemy_sub_species,TRUE
Covariate_CropType,covariate,enemy_morphospecies,TRUE
Crop_Latin_Name,crop_latin_name,enemy_lifestage,TRUE
Covariate_AnnualPerennial,covariate,growth_stage_of_crop_at_sampling,TRUE
Covariate_LocalDiversity,covariate,covariate_category,TRUE
Covariate_InsecticidePlot,covariate,covariate_name,FALSE
Covariate_InsecticideFarm,covariate,covariate_value,FALSE
Covariate_ConfidenceInsecticide,covariate,,
Covariate_Tilling,covariate,,
Covariate_SiteDesc,covariate,,
Covariate_NPerEffortPred,covariate,,
Covariate_Stand_ActPred,covariate,,
Covariate_NPerEffortDamage,covariate,,
Covariate_StandActDam,covariate,,
CropCommericialName,crop_commercial_name,,
Covariate_NaturalLandProp250,covariate,,
Covariate_NaturalLandProp750,covariate,,
Covariate_NaturalLandProp1250,covariate,,
Covariate_AgProp250,covariate,,
Covariate_AgProp750,covariate,,
Covariate_AgProp1250,covariate,,
Covariate_GrasslandProp250,covariate,,
Covariate_GrasslandProp750,covariate,,
Covariate_GrasslandProp1250,covariate,,
Covariate_PollinatorDepend,covariate,,
Covariate_CoverType250,covariate,,
Covariate_CoverType750,covariate,,
Covariate_CoverType1250,covariate,,
Response_Variable,response_variable,,
Class,abundance_class,,
Genus,genus,,
Subspecies,sub_species,,
Morphospecies,morphospecies,,
Lifestage,life_stage,,
Units,units,,
Month,month,,
Day,day,,
Time,local_time,,
ObserverID,observer_id,,
Functional_Type,functional_type,,
Covariate_TraitGenSpec,covariate,,
