farmyr,Year,Longitude,Latitude
04-070-003-00162-01 2018,2018,-2.240012705,37.54199098
04-070-036-00037-05 2018,2018,-2.289990234,37.4310983
04-083-010-00080-01 2018,2018,-2.553177819,37.37135259
04-083-024-00211-01 2018,2018,-2.588221341,37.36003027
04-083-024-00211-02 2018,2018,-2.587219084,37.35892763
04-083-027-00506-01 2018,2018,-2.575436906,37.33861842
04-083-027-00506-02 2018,2018,-2.57378741,37.33744627
04-099-030-01047-02 2018,2018,-2.155151222,37.58132591
04-099-043-00187-01 2018,2018,-2.037496986,37.62543751
04-099-043-00187-01 2019,2019,-2.037801441,37.62522087
04-099-043-00187-01 2019,2019,-2.037801441,37.62522087
04-099-043-00187-01 2019,2019,-2.037801441,37.62522087
04-099-043-00187-01 2019,2019,-2.037801441,37.62522087
04-099-043-00421-01 2018,2018,-2.034810349,37.62607975
04-099-045-00057-02 2018,2018,-1.98400117,37.58780897
04-099-045-00057-05 2018,2018,-1.984398879,37.58736408
04-099-045-00057-06 2018,2018,-1.984819964,37.58665701
04-099-045-00180-03 2018,2018,-1.983061424,37.58671867
04-099-045-00181-02 2018,2018,-1.983558493,37.58588004
14-043-009-00002-01 2017,2017,-4.333269999,38.00133714
14-043-009-00002-01 2018,2018,-4.333269999,38.00133714
14-043-009-00002-01 2019,2019,-4.333269999,38.00133714
14-049-021-00243-01 2017,2017,-5.323288004,37.68943411
14-049-021-00243-01 2018,2018,-5.323288004,37.68943411
14-049-021-00243-01 2019,2019,-5.323288004,37.68943411
14-049-023-00057-02-1 2017,2017,-5.307515112,37.68909514
14-049-023-00057-02-1 2018,2018,-5.307515112,37.68909514
14-049-023-00057-02-1 2019,2019,-5.307515112,37.68909514
14-057-006-00005-03-01 2015,2015,-4.809087921,37.7236457
14-057-006-00005-03-01 2016,2016,-4.809087921,37.7236457
14-057-006-00005-03-01 2017,2017,-4.809087921,37.7236457
14-057-006-00005-03-01 2018,2018,-4.809087921,37.7236457
14-057-006-00005-03-01 2019,2019,-4.809087921,37.7236457
14-060-015-00001-04-1 2016,2016,-4.884073918,37.46185401
14-060-015-00001-04-1 2017,2017,-4.884073918,37.46185401
14-060-015-00001-04-1 2018,2018,-4.884073918,37.46185401
14-060-015-00001-04-1 2019,2019,-4.884073918,37.46185401
14-900-001-00062-02 2018,2018,-4.828662011,37.81913315
14-900-001-00062-02 2019,2019,-4.828662011,37.81913315
14-900-034-00001-27 2016,2016,-4.736594456,37.8767444
14-900-034-00001-27 2017,2017,-4.736594456,37.8767444
14-900-034-00001-27 2018,2018,-4.736594456,37.8767444
14-900-034-00001-27 2019,2019,-4.736594456,37.8767444
14-900-035-00013-03-2 2016,2016,-4.682200689,37.90065946
14-900-035-00013-03-2 2017,2017,-4.682200689,37.90065946
14-900-035-00013-03-2 2018,2018,-4.682200689,37.90065946
14-900-035-00013-03-2 2019,2019,-4.682200689,37.90065946
14-900-036-00007-09 2019,2019,-4.661535569,37.87588132
14-900-068-00055-02 2017,2017,-4.627898059,37.89831401
14-900-068-00055-02 2018,2018,-4.627898059,37.89831401
14-900-068-00055-02 2019,2019,-4.627898059,37.89831401
14-900-071-00001-02-2 2016,2016,-4.655401901,37.93705184
14-900-071-00001-02-2 2017,2017,-4.655401901,37.93705184
14-900-071-00001-02-2 2018,2018,-4.655401901,37.93705184
14-900-071-00001-02-2 2019,2019,-4.655401901,37.93705184
18-005-015-00130-01 2018,2018,-3.211703266,36.83752134
18-007-014-00448-03 2018,2018,-3.224854683,36.7898293
18-014-004-00046-03-1 2019,2019,-3.938880241,36.95236657
18-014-011-00160-02-1 2018,2018,-4.015093881,37.00203458
18-014-011-00160-02-1 2019,2019,-4.01509415,37.002029
18-014-015-00001-02-1 2018,2018,-3.939945745,36.97900768
18-014-015-00001-02-1 2019,2019,-3.939948973,36.97900392
18-015-009-00006-01-01 2015,2015,-3.724081763,37.07037029
18-015-009-00006-01-01 2016,2016,-3.724081763,37.07037029
18-015-009-00006-01-01 2017,2017,-3.724081763,37.07037029
18-015-009-00006-01-01 2018,2018,-3.724081763,37.07037029
18-015-009-00006-01-01 2018,2018,-3.724081763,37.07037029
18-015-009-00006-01-01 2018,2018,-3.724081763,37.07037029
18-015-009-00006-01-01 2018,2018,-3.724081763,37.07037029
18-015-009-00006-01-01 2019,2019,-3.724081763,37.07037029
18-015-009-00006-01-01 2019,2019,-3.724081763,37.07037029
18-015-009-00006-01-01 2019,2019,-3.724081763,37.07037029
18-015-009-00006-01-01 2019,2019,-3.724081763,37.07037029
18-036-005-00070-01 2019,2019,-3.183563832,36.91062279
18-036-005-00070-01 2019,2019,-3.183563832,36.91062279
18-036-005-00070-01 2019,2019,-3.183563832,36.91062279
18-036-005-00070-01 2019,2019,-3.183563832,36.91062279
18-054-004-00035-08 2018,2018,-2.845000835,37.68750587
18-087-015-00011-08 2018,2018,-3.029280567,37.39038699
18-099-013-00001-02-1 2018,2018,-2.90459905,37.84502876
18-099-013-00001-02-1 2019,2019,-2.904605245,37.84502738
18-099-014-00023-01-1 2018,2018,-2.893186724,37.2268904
18-099-014-00023-01-1 2019,2019,-2.893192523,37.22688242
18-122-004-00012-02 2018,2018,-3.226973967,36.90432809
18-130-006-00031-02 2018,2018,-3.100582593,36.96179829
18-130-006-00031-03 2018,2018,-3.103371502,36.96304819
18-130-006-00031-09 2018,2018,-3.101709331,36.96173829
18-144-020-00100-01 2018,2018,-3.14523249,36.81155082
18-155-002-00049-02 2018,2018,-3.253685171,37.54635851
18-155-002-00049-02-1 2018,2018,-3.252912666,37.54421484
18-155-002-00049-02-3 2018,2018,-3.252394227,37.54210641
23-005-005-00021-02 2018,2018,-4.101755073,38.03622421
23-005-007-00216-04 2018,2018,-4.029846314,38.0017223
23-005-007-00216-04 2019,2019,-4.029846314,38.0017223
23-018-005-00070-07 2018,2018,-3.509215023,37.62242251
23-044-011-00128-00 2017,2017,-3.39491262,37.60819322
23-044-011-00128-01 2018,2018,-3.39491262,37.60819322
23-044-011-00128-01 2019,2019,-3.39491262,37.60819322
23-061-011-00047-00 2017,2017,-3.800091222,37.94066024
23-061-011-00047-01 2018,2018,-3.800091222,37.94066024
23-061-011-00047-01 2019,2019,-3.800091222,37.94066024
23-061-014-00023-01 2018,2018,-3.792292639,37.92496704
23-092-089-00360-01 2018,2018,-3.352492087,37.95753189
23-092-089-00362-05 2018,2018,-3.347810072,37.95109302
23-092-089-00362-05 2019,2019,-3.347810072,37.95109302
29-043-010-00027-01-01 2017,2017,-4.30311394,36.88642559
29-043-010-00028-02-01 2015,2015,-4.304666404,36.8853359
29-043-010-00028-02-01 2016,2016,-4.304666404,36.8853359
