farmyr,Year,Longitude,Latitude
11-013-001-00026-00-10 2006,2006,-5.384961874,36.31452468
11-013-001-00026-00-1a 2007,2007,-5.384964288,36.31452716
11-013-001-00026-02-1a 2008,2008,-5.384964288,36.31452716
11-013-001-00026-02-1a 2009,2009,-5.384964288,36.31452716
11-013-001-00026-02-1a 2010,2010,-5.384845301,36.31427717
11-013-001-00026-02-1a 2011,2011,-5.384845301,36.31427717
11-013-001-00026-02-1a 2012,2012,-5.384845301,36.31427717
11-013-002-00005-00-10 2007,2007,-5.429760422,36.2676399
11-013-002-00005-00-10 2008,2008,-5.429760422,36.2676399
11-013-002-00005-00-10 2009,2009,-5.429760422,36.2676399
11-013-002-00005-00-10 2010,2010,-5.429760422,36.2676399
11-013-002-00005-00-10 2011,2011,-5.429760422,36.2676399
11-013-002-00005-00-10 2012,2012,-5.429760422,36.2676399
11-013-002-00032-02 2011,2011,-5.403268955,36.29915356
11-013-002-00032-02 2012,2012,-5.405206435,36.29661795
11-013-002-00032-02 2013,2013,-5.405206435,36.29661795
11-013-002-00032-02-02 2013,2013,-5.404425796,36.29730279
11-013-002-00032-02-02 2014,2014,-5.404425796,36.29730279
11-013-002-00032-02-04 2014,2014,-5.40442573,36.29730063
11-013-002-00032-02-04 2015,2015,-5.40442573,36.29730063
11-013-002-00032-02-04 2016,2016,-5.40442573,36.29730063
11-013-002-00032-02-04 2017,2017,-5.40442573,36.29730063
11-013-002-00032-02-04 2018,2018,-5.40442573,36.29730063
11-013-002-00032-02-04 2019,2019,-5.40442573,36.29730063
11-013-002-00047-00-10 2006,2006,-5.43045569,36.26999729
11-013-002-00050-00-10 2006,2006,-5.429760228,36.26764442
11-013-003-00001-00-4b 2007,2007,-5.411107551,36.34070809
11-013-003-00011-00-10 2006,2006,-5.425669096,36.28642803
11-013-003-00028-00-01 2006,2006,-5.400336199,36.31152224
11-013-003-00028-00-1a 2007,2007,-5.384964288,36.31452716
11-013-003-00028-02-1a 2008,2008,-5.384964288,36.31452716
11-013-003-00028-02-1a 2009,2009,-5.384964288,36.31452716
11-013-003-00028-02-1a 2010,2010,-5.396413133,36.30834942
11-013-003-00028-02-1a 2011,2011,-5.396413133,36.30834942
11-013-003-00028-02-1a 2012,2012,-5.396413133,36.30834942
11-013-003-00029-00-10 2006,2006,-5.404329746,36.31237515
11-013-003-00043-00-01 2006,2006,-5.395621804,36.31460668
11-013-004-00016-00-01 2006,2006,-5.432981885,36.27913374
11-013-004-00020-00-01 2006,2006,-5.433614417,36.27395907
11-013-012-00013-00-ab 2007,2007,-5.411056246,36.24718928
11-013-012-00013-03-01 2008,2008,-5.411056246,36.24718928
11-013-012-00013-03-01 2009,2009,-5.411056246,36.24718928
11-013-012-00013-03-01 2010,2010,-5.411056246,36.24718928
11-013-012-00013-03-01 2011,2011,-5.411056246,36.24718928
11-013-012-00013-03-01 2012,2012,-5.411056246,36.24718928
11-013-012-00021-00-10 2006,2006,-5.40753654,36.2402367
11-021-000-00000-00-00 2009,2009,-5.13342357,36.46229148
11-021-002-00016-00-00 2006,2006,-5.409559962,36.48146751
11-021-002-00016-00-00 2007,2007,-5.409559962,36.48146751
