farmyr,Year,Longitude,Latitude
11-001-044-00028-00-20 2006,2006,-5.779204913,36.38255455
11-001-044-00028-02-00 2012,2012,-5.792485078,36.36994478
11-001-044-00028-02-00 2014,2014,-5.779193841,36.38255661
11-001-044-00028-02-00 2015,2015,-5.795051519,36.36879424
11-001-044-00028-02-00 2016,2016,-5.791203052,36.36774875
11-001-044-00028-02-00 2017,2017,-5.795282759,36.36871673
11-001-044-00028-11-01 2018,2018,-5.790545923,36.38178707
11-001-044-00028-18-00 2009,2009,-5.781129444,36.3818266
11-001-044-00028-19-00 2013,2013,-5.792485078,36.36994478
11-001-044-00028-20-00 2011,2011,-5.789829609,36.38232652
11-001-045-00009-00-00 2008,2008,-5.787258052,36.36430814
11-001-045-00009-00-10 2007,2007,-5.767554752,36.37277498
11-001-045-00009-06-00 2014,2014,-5.7842894,36.36699095
11-001-045-00009-06-01 2016,2016,-5.785544114,36.36530344
11-001-045-00009-06-02 2012,2012,-5.783844782,36.36733477
11-001-045-00009-11-00 2014,2014,-5.78684373,36.36831022
11-001-045-00009-11-02 2013,2013,-5.787291777,36.35994545
11-001-045-00011-02-00 2014,2014,-5.785167409,36.35848998
11-001-045-00011-03-* 2018,2018,-5.779761774,36.3556239
11-001-045-00011-03-00 2014,2014,-5.779767966,36.35861582
11-006-003-00043-00-30 2007,2007,-5.81367723,36.67887274
11-006-008-00005-03-02 2018,2018,-5.793018342,36.78342732
11-006-008-00005-10 2015,2015,-5.793018342,36.78342732
11-006-008-00005-10-09 2017,2017,-5.793018342,36.78342732
11-006-008-00006-03-00 2014,2014,-5.799938159,36.8030091
11-006-008-00006-03-00 2015,2015,-5.799938159,36.8030091
11-006-008-00012-03 2015,2015,-5.782970542,36.79214302
11-006-008-00051-00-00 2008,2008,-5.769878607,36.79213903
11-006-008-00051-00-02 2006,2006,-5.769227319,36.7929056
11-006-008-00051-00-51 2007,2007,-5.769227319,36.7929056
11-006-008-00051-05-00 2010,2010,-5.769882996,36.79213334
11-006-008-00051-05-00 2011,2011,-5.769882996,36.79213334
11-006-008-00051-05-00 2014,2014,-5.770352729,36.78993254
11-006-008-00051-05-01 2015,2015,-5.775260387,36.7899352
11-006-008-00051-05-01 2016,2016,-5.775260387,36.7899352
11-006-008-00051-05-01 2017,2017,-5.771138659,36.79059911
11-006-008-00051-05-03 2018,2018,-5.77103855,36.78999765
11-006-009-00005-02 2016,2016,-5.776573987,36.75866078
11-006-009-00019-00-90 2006,2006,-5.764179262,36.77216988
11-006-009-00019-10 2017,2017,-5.770395564,36.77650402
11-006-009-00023-04 2015,2015,-5.773493875,36.78600225
11-006-009-00023-04-01 2017,2017,-5.773493875,36.78600225
11-006-009-00023-04-01 2018,2018,-5.773493875,36.78600225
11-006-009-00025-02-00 2016,2016,-5.769397165,36.7864222
11-006-009-00025-02-00 2017,2017,-5.76958471,36.78665213
11-006-009-00026-00-01 2007,2007,-5.764970649,36.78921896
11-006-009-00026-04-00 2011,2011,-5.764677898,36.75050295
11-006-009-00051-00-00 2007,2007,-5.717342849,36.78886718
11-006-009-00051-08-00 2009,2009,-5.717164374,36.78865506
11-006-009-00051-10-00 2010,2010,-5.717164055,36.78864606
11-006-009-00069-01-00 2012,2012,-5.707272657,36.78297799
11-006-009-00069-01-24 2018,2018,-5.710341589,36.77723057
11-006-009-00080-01 2017,2017,-5.715406105,36.77503324
11-006-009-00116-00-00 2007,2007,-5.758527694,36.7854125
11-006-009-00116-36 2017,2017,-5.762431282,36.78432234
11-006-009-00116-36-00 2012,2012,-5.827235486,36.84164431
11-006-009-00116-36-01 2018,2018,-5.764532929,36.78575141
11-006-009-00117-00-02 2007,2007,-5.760817154,36.77842946
11-006-009-00117-15-01 2018,2018,-5.764186651,36.77611687
11-006-009-00123-00-10 2007,2007,-5.758072703,36.77130582
11-006-010-00007-00-00 2006,2006,-5.698556977,36.78938537
11-006-010-00007-00-08 2006,2006,-5.699040223,36.78655368
11-006-010-00007-01 2017,2017,-5.700510402,36.78789911
11-006-010-00007-01-00 2012,2012,-5.698114163,36.78889977
11-006-010-00007-08-14 2018,2018,-5.697982537,36.78706433
11-006-014-00004-01-00 2015,2015,-5.661466253,36.80611878
11-006-016-00014-00-00 2007,2007,-5.669056958,36.76652813
11-006-016-00014-01-00 2009,2009,-5.669441887,36.76662971
11-006-022-00046-02 2016,2016,-5.898477079,36.67037595
11-006-025-00004-02 2016,2016,-5.872994001,36.67579716
11-006-038-00014-00-02 2007,2007,-5.806476394,36.67806952
11-006-038-00014-04 2011,2011,-5.80769512,36.67620236
11-006-038-00014-04-00 2013,2013,-5.806555953,36.67810369
11-006-038-00014-04-01 2009,2009,-5.806566804,36.67809442
11-006-038-00014-04-01 2010,2010,-5.806566804,36.67809442
11-006-038-00015-00-01 2007,2007,-5.808408795,36.6816737
11-006-038-00021-01 2011,2011,-5.80507467,36.67520979
11-006-038-00022-03-00 2009,2009,-5.801388127,36.67844175
11-006-038-00025-00-00 2008,2008,-5.803167198,36.67505648
11-006-038-00025-00-01 2006,2006,-5.803122812,36.67506653
11-006-038-00025-01 2011,2011,-5.80507467,36.67520979
11-006-038-00025-01-00 2009,2009,-5.803167198,36.67505648
11-006-038-00025-01-00 2010,2010,-5.805047688,36.67354324
11-006-039-00022-01-00 2012,2012,-5.794666262,36.71217779
11-006-039-00025-00-00 2006,2006,-5.791563002,36.71403031
11-006-039-00146-00-01 2006,2006,-5.799572581,36.68514421
11-006-039-00146-02-00 2012,2012,-5.801387092,36.6830378
11-006-039-00152-01-01 2009,2009,-5.79465447,36.68652148
11-006-039-00152-01-01 2010,2010,-5.796288558,36.68468073
11-006-039-00172-00-01 2006,2006,-5.794404253,36.69073587
11-006-039-00172-02-01 2015,2015,-5.795601099,36.68886935
11-006-039-00173-01-01 2016,2016,-5.796695965,36.68696916
11-006-040-00002-05-00 2013,2013,-5.797015198,36.71707005
11-006-040-00021-14-00 2012,2012,-5.80296223,36.6971402
11-006-040-00025-01-00 2015,2015,-5.799392493,36.71410332
11-006-041-00002-01 2016,2016,-6.154387251,36.61476589
11-006-041-00011-02 2011,2011,-5.837624686,36.70060804
11-006-041-00011-02-00 2009,2009,-5.835951063,36.68795946
11-006-041-00011-02-00 2010,2010,-5.837738568,36.70096579
