farmyr,Year,Longitude,Latitude
11-001-053-00003-01 2012,2012,-5.763960033,36.3684547
11-001-053-00003-02 2009,2009,-5.749484336,36.3665039
11-001-053-00003-02 2013,2013,-5.748730427,36.36444438
11-001-053-00003-02 2014,2014,-5.748730427,36.36444438
11-001-053-00003-03 2011,2011,-5.751606093,36.36889329
11-001-053-00003-04 2009,2009,-5.753982473,36.37059598
11-001-053-00003-04 2012,2012,-5.751606093,36.36889329
11-001-053-00003-04 2013,2013,-5.762632802,36.36842233
11-001-053-00003-04 2014,2014,-5.762632802,36.36842233
11-001-053-00003-04-6 2010,2010,-5.754422116,36.37037846
11-001-053-00003-04-8 2010,2010,-5.760831254,36.36884253
11-001-053-00003-08 2009,2009,-5.748037284,36.37048469
11-001-053-00003-08 2010,2010,-5.748332258,36.37086128
11-001-053-00003-08 2011,2011,-5.751606093,36.36889329
11-001-cermeo 1 2015,2015,-5.747365166,36.3634494
11-001-cermeo 2015,2015,-5.758293209,36.36998852
11-007-015-00003-05 2009,2009,-5.876814878,36.2388639
11-007-015-00003-05 2017,2017,-5.876351381,36.23633228
11-007-015-00003-05 2019,2019,-5.876351381,36.23633228
11-007-015-00003-05-00 2014,2014,-5.872750916,36.24069061
11-007-015-00003-06-1 2010,2010,-5.877654687,36.23880628
11-007-015-00003-06-a 2012,2012,-5.872750916,36.24069061
11-007-015-00005-03 2015,2015,-5.855410104,36.24627908
11-007-015-00005-03-0 2013,2013,-5.851074883,36.23138626
11-007-015-00005-03-00 2014,2014,-5.851074883,36.23138626
11-007-015-00005-04-00 2015,2015,-5.855410104,36.24627908
11-007-015-00007-01-1 2010,2010,-5.858839284,36.22772214
11-007-015-00007-03-00 2014,2014,-5.859378807,36.22665481
11-007-015-00007-05 2013,2013,-5.854353555,36.23130803
11-007-015-00007-05 2016,2016,-5.86333944,36.22484771
11-007-015-00007-05 2017,2017,-5.863341082,36.22489273
11-007-015-00010-05 2016,2016,-5.857634391,36.22426322
11-007-015-00021-03 2011,2011,-5.852186966,36.23168417
11-007-015-00021-03-00 2009,2009,-5.852731508,36.2320277
11-007-015-00021-03-00 2014,2014,-5.842159457,36.24659487
11-007-015-00021-03-a 2012,2012,-5.851074883,36.23138626
11-007-015-00022-01-00 2009,2009,-5.857440729,36.23932308
11-007-015-00022-01-00 2010,2010,-5.857440729,36.23932308
11-007-015-00022-01-00 2015,2015,-5.855410104,36.24627908
11-007-015-00022-01-01 2015,2015,-5.855410104,36.24627908
11-007-015-00022-01-a 2012,2012,-5.854353555,36.23130803
11-007-015-00023-02 2011,2011,-5.853122107,36.24118775
11-007-015-00024-02 2016,2016,-5.84581599,36.23851405
11-007-015-00024-02 2017,2017,-5.845818603,36.23858608
11-007-015-00024-02-00 2014,2014,-5.851074883,36.23138626
11-007-015-00024-02-1 2013,2013,-5.851074883,36.23138626
11-007-015-00024-03 2011,2011,-5.845306558,36.24103157
11-007-015-00024-03 2016,2016,-5.853151558,36.23067883
11-007-015-00024-03-00 2009,2009,-5.845461135,36.24118317
11-007-015-00024-03-00 2014,2014,-5.842159457,36.24659487
11-007-015-00025-05 2015,2015,-5.838403793,36.24153191
11-007-015-00025-06 2013,2013,-5.845327387,36.24375276
11-007-015-00025-06-2 2013,2013,-5.845327387,36.24375276
11-007-015-00025-11 2012,2012,-5.845142533,36.23865625
11-007-015-00025-11-1 2011,2011,-5.839393137,36.23748617
11-007-015-00025-11-2 2010,2010,-5.839387383,36.23749109
11-007-015-00026-06 2011,2011,-5.822722669,36.23454642
11-007-015-00026-06-00 2014,2014,-5.82110637,36.23476482
11-007-015-00026-09-00 2009,2009,-5.817738677,36.23050789
11-007-015-00026-09-1 2010,2010,-5.82272149,36.23455095
11-007-015-00026-10 2017,2017,-5.815158216,36.22958778
11-007-015-00026-10 2018,2018,-5.815158216,36.22958778
11-007-015-00026-10 2019,2019,-5.815158216,36.22958778
11-007-015-00026-10-00 2009,2009,-5.816752672,36.23341496
11-007-015-00026-10-00 2013,2013,-5.822722669,36.23454642
11-007-015-00026-10-00 2015,2015,-5.81524183,36.22974803
11-007-015-00026-11 2012,2012,-5.824808006,36.23777763
11-007-015-00026-18 2017,2017,-5.822368817,36.233987
11-007-015-00026-18 2018,2018,-5.822368817,36.233987
11-007-015-00026-18 2019,2019,-5.822368817,36.233987
11-007-015-00026-28-00 2015,2015,-5.821244813,36.22964258
11-007-015-00031-02 2011,2011,-5.862492447,36.24096374
11-007-015-00031-02 2018,2018,-5.876351381,36.23633228
11-007-015-00031-02 2019,2019,-5.876351381,36.23633228
11-007-015-00031-02-1 2013,2013,-5.872750916,36.24069061
11-007-015-00032-01-0 2011,2011,-5.869618365,36.23473672
11-007-015-00032-02 2017,2017,-5.876351381,36.23633228
11-007-015-00032-02-1 2010,2010,-5.866333364,36.23616735
11-007-015-00032-02-a 2012,2012,-5.866922146,36.23766728
11-007-015-00032-09 2015,2015,-5.838036313,36.24152541
11-007-015-00032-09 2018,2018,-5.876351381,36.23633228
11-007-laguna2 2014,2014,-5.872750916,36.24069061
