farmyr,Year,Longitude,Latitude
11-006-015-00005-01 2010,2010,-5.679608662,36.79063414
11-006-016-00002-03 2010,2010,-5.679608662,36.79063414
11-006-016-00002-03 2011,2011,-5.679608662,36.79063414
11-006-016-00002-03 2012,2012,-5.679608662,36.79063414
11-006-018-00008-00-00 2007,2007,-5.612408002,36.76047061
11-006-018-00008-00-00 2008,2008,-5.612408002,36.76047061
11-006-018-00008-00-00 2009,2009,-5.612408002,36.76047061
11-006-018-00008-00-00 2010,2010,-5.612408002,36.76047061
11-006-018-00008-00-00 2011,2011,-5.612408002,36.76047061
11-006-018-00008-00-00 2012,2012,-5.612408002,36.76047061
11-006-018-00008-00-00 2013,2013,-5.612408002,36.76047061
11-006-039-00122-00-10 2007,2007,-5.790949936,36.68123739
11-006-039-00122-00-10 2008,2008,-5.790949936,36.68123739
11-006-039-00122-00-10 2009,2009,-5.790949936,36.68123739
11-006-039-00122-00-10 2010,2010,-5.790949936,36.68123739
11-006-039-00122-00-10 2011,2011,-5.790949936,36.68123739
11-006-040-00011-00-r3 2007,2007,-5.803219947,36.70854304
11-006-040-00011-00-r3 2008,2008,-5.803219947,36.70854304
11-006-040-00011-00-r3 2009,2009,-5.803219947,36.70854304
11-015-006-00144-00-00 2006,2006,-6.08154917,36.45697523
11-015-006-00144-00-00 2008,2008,-6.08154917,36.45697523
11-015-006-00144-00-00 2009,2009,-6.08154917,36.45697523
11-015-006-00510-00-00 2006,2006,-6.111882747,36.44087995
11-015-006-00510-00-00 2007,2007,-6.111882747,36.44087995
11-015-006-00510-00-00 2008,2008,-6.111882747,36.44087995
11-015-006-00510-00-00 2009,2009,-6.111882747,36.44087995
11-015-009-00008-00-00 2006,2006,-6.083868779,36.45400189
11-015-009-00008-00-00 2007,2007,-6.083868779,36.45400189
11-015-009-00008-00-00 2008,2008,-6.083868779,36.45400189
11-015-009-00008-00-00 2009,2009,-6.083868779,36.45400189
11-015-009-00042-00-b0 2006,2006,-6.091858248,36.44648498
11-015-009-00042-00-b0 2007,2007,-6.091858248,36.44648498
11-015-009-00042-00-b0 2008,2008,-6.091858248,36.44648498
11-015-009-00042-00-b0 2009,2009,-6.091858248,36.44648498
11-015-009-00258-01 2009,2009,-6.106739201,36.43213516
11-015-031-00001-00-00 2008,2008,-6.105934488,36.43828664
11-015-031-00001-00-00 2009,2009,-6.105934488,36.43828664
11-015-031-00001-01 2010,2010,-6.105871468,36.43833955
11-015-031-00001-01 2011,2011,-6.105871468,36.43833955
11-015-031-00001-01 2012,2012,-6.105871468,36.43833955
11-015-031-00001-01 2013,2013,-6.105871468,36.43833955
11-015-031-00001-01 2014,2014,-6.105871468,36.43833955
11-016-004-00209-00-00 2007,2007,-6.380957622,36.74171099
11-016-005-00001-00-00 2006,2006,-6.396032325,36.73249262
11-016-006-00011-00-a0 2007,2007,-6.382556471,36.72768273
11-016-006-00011-05 2010,2010,-6.382679819,36.72866909
11-016-006-00011-05 2011,2011,-6.382679819,36.72866909
11-016-007-00035-00 2012,2012,-6.395162721,36.71880738
11-016-007-00035-00 2013,2013,-6.395162721,36.71880738
11-016-007-00035-00 2014,2014,-6.395162721,36.71880738
11-016-007-00035-00 2015,2015,-6.395162721,36.71880738
11-016-007-00035-00 2016,2016,-6.395162721,36.71880738
11-016-007-00035-00 2017,2017,-6.395162721,36.71880738
11-016-007-00035-00 2018,2018,-6.395162721,36.71880738
11-016-007-00035-00 2019,2019,-6.395162721,36.71880738
11-016-007-00035-00-b1 2006,2006,-6.396796715,36.71880576
11-016-007-00035-00-b1 2007,2007,-6.394415765,36.71887376
11-016-007-00035-00-b1 2008,2008,-6.394415765,36.71887376
11-016-007-00035-00-t1 2007,2007,-6.394415765,36.71887376
11-016-007-00035-00-t1 2008,2008,-6.394415765,36.71887376
11-016-007-00035-01 2012,2012,-6.393083432,36.71810086
11-016-007-00035-01 2013,2013,-6.393083432,36.71810086
11-016-007-00035-01 2014,2014,-6.393083432,36.71810086
11-016-007-00035-01 2015,2015,-6.393083432,36.71810086
11-016-007-00035-01 2016,2016,-6.393083432,36.71810086
11-016-007-00035-01 2017,2017,-6.393083432,36.71810086
11-016-007-00035-01 2018,2018,-6.393083432,36.71810086
11-016-007-00035-01 2019,2019,-6.393083432,36.71810086
11-016-007-00035-02 2012,2012,-6.399014876,36.71834592
11-016-007-00035-02 2013,2013,-6.399014876,36.71834592
11-016-007-00035-02 2014,2014,-6.399014876,36.71834592
11-016-007-00035-02 2015,2015,-6.399014876,36.71834592
11-016-007-00035-02 2018,2018,-6.399014876,36.71834592
11-016-007-00035-02 2019,2019,-6.399014876,36.71834592
11-016-007-00035-06 2010,2010,-6.393080345,36.71777658
11-016-008-00035-00-00 2007,2007,-6.382779068,36.71552126
11-016-009-00084-00-00 2008,2008,-6.396032325,36.73249262
11-016-009-00084-00-b1 2006,2006,-6.406282821,36.70712284
11-016-009-00084-00-b1 2007,2007,-6.406282821,36.70712284
11-016-009-00088-00-00 2006,2006,-6.402923411,36.70684347
11-016-009-00133-00-00 2006,2006,-6.392350985,36.71310662
11-016-011-00130-00-00 2007,2007,-6.422365361,36.7097075
11-016-011-00130-00-02 2007,2007,-6.422365361,36.7097075
11-016-011-00131-00--1 2006,2006,-6.421887173,36.70985362
11-016-013-00064-00-00 2006,2006,-6.418105795,36.74527083
11-016-013-00064-00-00 2007,2007,-6.418105795,36.74527083
11-016-013-00064-00-00 2011,2011,-6.418105795,36.74527083
11-016-017-00137-00-00 2007,2007,-6.410075223,36.72836624
