farmyr,Year,Longitude,Latitude
11-001-044-00028-11-00 2011,2011,-6.110626151,36.38535495
11-001-044-00041-06-01 2011,2011,-5.792646221,36.42737544
11-001-044-00041-06-02 2011,2011,-5.792646221,36.42737544
11-001-053-00001-02-00 2015,2015,-5.759845237,36.36019913
11-005-009-00017-03-00 2018,2018,-5.352939806,36.90393293
11-005-011-00021-03-00 2018,2018,-5.327564574,36.88799423
11-005-026-00007-07-00 2015,2015,-5.4828927,36.88608622
11-005-035-00001-03-00 2014,2014,-5.483099685,36.88301468
11-006-001-00015-01-00 2011,2011,-5.877353135,36.81384808
11-006-001-00031-06-00 2013,2013,-5.872295842,36.84044616
11-006-030-00002-02-00 2011,2011,-5.621527922,36.68549615
11-006-039-00178-01-00 2011,2011,-5.799660393,36.69188297
11-006-048-00003-03-00 2011,2011,-5.92433079,36.70908767
11-006-049-00015-01-01 2015,2015,-5.893083974,36.76021132
11-006-049-00015-06-00 2015,2015,-5.893083974,36.76021132
11-006-049-00016-01-00 2014,2014,-5.908690949,36.74871628
11-006-049-00017-01-00 2015,2015,-5.90282504,36.73975369
11-006-049-00020-02-00 2015,2015,-5.873950266,36.74745842
11-006-049-00033-02-00 2014,2014,-5.871518567,36.75456719
11-006-054-00028-02-01 2013,2013,-5.879033646,36.79259432
11-006-054-00028-02-01 2015,2015,-5.877246843,36.79305212
11-006-054-00028-02-01 2019,2019,-5.879476298,36.7927458
11-006-056-00026-01-00 2011,2011,-5.881907197,36.79990508
11-006-058-00002-04-01 2012,2012,-5.864570165,36.78361687
11-006-058-00002-04-01 2014,2014,-5.86664288,36.78632443
11-006-058-00002-04-01 2018,2018,-5.865893894,36.78306229
11-006-062-00005-05-00 2011,2011,-5.801373431,36.81317647
11-006-074-00003-03-00 2011,2011,-5.684567819,36.73044848
11-006-095-00007-01-00 2014,2014,-5.905118949,36.72704983
11-006-095-00007-01-01 2015,2015,-5.904658534,36.72513802
11-006-095-00079-06-00 2011,2011,-5.882695939,36.72706379
11-006-095-00079-06-00 2012,2012,-5.315100851,37.03782617
11-006-095-00086-04-00 2012,2012,-5.308430973,37.02546507
11-006-095-00115-04-00 2015,2015,-5.896760071,36.73486208
11-014-005-00591-01-00 2013,2013,-6.079571044,36.3171232
11-014-006-00019-02-00 2011,2011,-6.060009281,36.34707588
11-014-008-00008-01-00 2014,2014,-6.055298451,36.2906667
11-014-008-00016-02-00 2012,2012,-6.050374688,36.28943177
11-014-010-00003-03-00 2011,2011,-6.059068114,36.2774583
11-014-010-00003-03-00 2013,2013,-6.058894698,36.27814763
11-014-010-00005-01-00 2014,2014,-6.111216479,36.30365987
11-014-011-00048-01-00 2015,2015,-6.070080901,36.26822729
11-014-020-00131-03-01 2012,2012,-6.324710378,36.31198272
11-014-020-00135-03-01 2011,2011,-6.051705616,36.29844547
11-014-020-00135-09-00 2015,2015,-6.052562706,36.29672938
11-014-020-00140-01-00 2015,2015,-6.062466757,36.29207821
11-015-006-00016-08-00 2011,2011,-6.107050386,36.46228801
11-015-006-00016-08-00 2015,2015,-6.109625039,36.46027445
11-015-006-00132-02-01 2012,2012,-6.090732971,36.45761166
